Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories,Notes (*),Product Page,Product Page 2,Product Page 3
Gigabyte,Aorus,x4 PCIe 3.0/NVMe,M.2 (512GB) & AIC,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3480/2000,Mid-Range NVMe,RGB & Heatsink,Gigabyte Aorus NVMe,Gigabyte Aorus NVMe AIC,
Gigabyte,Gen4 Aorus,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,DS Heatsink,Aorus Gen4,,
Gigabyte,Gen4 Aorus v2/Premium,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7000/6850,High-End NVMe,HS,AORUS Gen4,,
Gigabyte,Gen5 Aorus 10000,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,,,,,High-End NVMe,,,,
Gigabyte,M30,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,,TLC,,3500/3000,Mid-Range NVMe,,Gigabyte M30,,
Gigabyte,NVMe,x2 PCIe 3.0/NVMe,M.2,128GB-512GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1550/850,Entry-Level NVMe,,Gigabyte NVMe,,
Gigabyte,NVMe v2,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,2500/2100,Entry-Level NVMe,5-yr,Gigabyte NVMe v2,,
Gigabyte,SSD,SATA/AHCI,"2.5""",120GB-1TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,550/500,Entry-Level SATA,,Gigabyte SSD,,
Gigabyte,UD Pro,SATA/AHCI,"2.5""",256GB-512GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,530/500,Mid-Range SATA,S12; 96L; 256MB DRAM,Gigabyte UD Pro,,
Gigabyte,Vision Drive,USB 3.2 Gen2x1,USB-C,1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,2000/2000,Mid-Range NVMe,Portable,Gigabyte Vision Drive,,
Goodram,IRDM Pro,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/6850,High-End NVMe,,Goodram IRDM Pro,,
Goodram,IRDM Ultimate,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,,,,,High-End NVMe,,,,
Goodram,IRDM Ultimate X,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4500,Mid-Range NVMe,Heatsink,Goodram IRDM Ultimate X,,
Goodram,PX500,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2050/1650,Entry-Level NVMe,,Goodram PX500,,
Greenliant,ArmourDrive,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,,,,2500/2100,Entry-Level NVMe,,Greenliant ArmourDrive,,
Fantom,VENOM8,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,,High-End NVMe,,,,
HIKVision,C2000,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/3000,Mid-Range NVMe,Heatsink,HIKVision C/E2000,,
HP,EX900,x4 PCIe 3.0/NVMe,M.2,120GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1500,Entry-Level NVMe,,HP EX900,,
HP,EX900 Plus,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,,No,Yes,Micron,TLC,,3300/2700,Entry-Level NVMe,,HP EX900 Plus,,
HP,EX900 Pro,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,N/A,,TLC,,2095/1965,Entry-Level NVMe,,HP EX900 Pro,,
HP,EX920,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3200/1800,Mid-Range NVMe,,HP EX920,,
HP,EX950,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3500/2900,Mid-Range NVMe,,HP EX950,,
HP,FX900,x4 PCIe 4.0/NVMe,M.2,256GB-2TB,InnoGrit IG5220,,No,Yes,Micron,TLC,176L,5000/4800,Mid-Range NVMe,,HP FX900,,
HP,FX900 Pro,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,Micron,TLC,176,7400/6700,High-End NVMe,,HP FX900 Pro,,
HP,M700,SATA/AHCI,"2.5"" & M.2",120GB-240GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Samsung,MLC,N/A,560/520,Entry-Level SATA,,HP M700,,
HP,P500,USB 3.2 Gen 1x1,USB-C,120GB-500GB,SMI SM3350,N/A,No,N/A,Samsung,TLC,,380/200,Entry-Level SATA,,HP P500,,
HP,P600,USB 3.2 Gen 2x1,USB-C,250GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,560/500,Entry-Level SATA,Portable,HP P600,,
HP,P700,USB 3.2 Gen 2x1,USB-C,256GB-1TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,1000/1000,Entry-Level NVMe,Portable,HP P700,,
HP,P800,Thunderbolt 3,USB-C,256GB-1TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2400/1200,Entry-Level NVMe,Portable,HP P800,,
HP,S600,SATA/AHCI,"2.5""",120GB-240GB,Marvell 88NV1120,"Dual-core, 2-ch, 4-CE/ch",No,N/A,Micron,TLC,64,520/500,Garbage,,HP S600,,
HP,S700,SATA/AHCI,"2.5"" & M.2",120GB-500GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,32/64,560/515,Entry-Level SATA,Change: Samsung 64L,HP S700,,
HP,S700 Pro,SATA/AHCI,"2.5"" & M.2 (512GB)",128GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,570/525,Mid-Range SATA,Change: Samsung 64L,HP S700 Pro,,
HP,S750,SATA/AHCI,"2.5""",256GB-1TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,96,560/520,Entry-Level SATA,,HP S750,,
Hynix,Gold P31,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Cepheus,Dual-core,Yes,No,Hynix,TLC,128,3500/3200,Mid-Range NVMe,,Hynix Gold P31,,
Hynix,Gold S31,SATA/AHCI,"2.5""",250GB-1TB,Quartz/SH87830CC,"Dual-core, 8-ch, 4-CE/ch",Yes,N/A,Hynix,TLC,72,560/525,High-End SATA,512Gb TLC; Borderline Perf.,SK Hynix Gold S31,,
Hynix,Platinum P41,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Aries,Quad-core,Yes,No,Hynix,TLC,176,7000/6500,High-End NVMe,,,,
Hyundai,Sapphire,SATA/AHCI,"2.5""",120GB-480GB,Marvell 88NV1120,"Dual-core, 2-ch, 4-CE/ch",No,N/A,Micron,TLC,32,500/300,Entry-Level SATA,,Hyundai Sapphire,,
I-O Data,SSPH-UT,USB 3.2 Gen 1x1,USB-A,250GB-1TB,,,,,,,,350/300,Entry-Level SATA,Portable; Japan,I-O Data SSPH-UT,,
Inland,Basic,x2 PCIe 3.0/NVMe,M.2,256GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1100/600,Entry-Level NVMe,,,,
Inland,Gaming Perf. Plus,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/6850,High-End NVMe,6-year warranty,,,
Inland,Performance,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4300,Mid-Range NVMe,Heatsink,,,
Inland,Performance Plus,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7000/6850,High-End NVMe,New revision: 176L Micron TLC,,,
Inland,Platinum,x4 PCIe 3.0/NVMe,M.2,1TB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,3400/3000,Mid-Range NVMe,256MB of DRAM,,,
Inland,Platinum (External),USB 3.2 Gen 2x1,USB-C,500GB-1TB,,,,,,TLC,,,,,,,
Inland,Premium (NVMe),x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3100/2900,Mid-Range NVMe,3-yr,,,
Inland,Prime,x4 PCIe 3.0/NVMe,M.2,1TB,Phison E15T,"Single-core R5 + CoX, 4-ch, 8-CE/ch",No,Yes,,TLC,,3300/3000,Mid-Range NVMe,6-year warranty,,,
Inland,Pro QLC (NVMe),x4 PCIe 3.0/NVMe,M.2,1TB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,QLC,96,2000/1900,Entry-Level NVMe,2TB ideal,,,
Inland,Premium (SATA),SATA/AHCI,"2.5""",256GB-1TB,,,,,,QLC,,510/470,Entry-Level SATA,DRAM-less likely,,,
Inland,Pro. (NVMe),x2 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1550/1000,Entry-Level NVMe,Switched to E13T + QLC,,,
Inland,Pro. (SATA),SATA/AHCI,"2.5""",120GB-1TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,500/470,Entry-Level SATA,Transition to QLC,,,
Inland,TN436,x4 PCIe 4.0/NVMe,M.2,1TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,112,3400/2400,Entry-Level NVMe,2230,,,
Inland,QN322,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Intel,QLC,96,2300/`800,Entry-Level NVMe,,,,
Intel,545s,SATA/AHCI,"2.5"" & M.2 (256GB)",256GB-1TB,SMI SM2259,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Intel,TLC,64,550/500,High-End SATA,,Intel 545s,,
Intel,660p,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Intel,QLC,64,1800/1800,Entry-Level NVMe,Best at 1TB+; 256MB of DRAM,Intel 660p,,
Intel,665p,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Intel,QLC,96,2000/2000,Entry-Level NVMe,Best at 1TB+; 256MB of DRAM,Intel 665p,,
Intel,670p,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2265,"Dual-core R5, 4-ch, 4-CE/ch",Yes,No,Intel,QLC,144,3500/2700,Entry-Level NVMe,Best at 1TB+; 256MB of DRAM,Intel 670p,,
Intel,760p,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Intel,TLC,64,3230/1625,Mid-Range NVMe,Single-sided up to 1TB,Intel 760p,,
KingDian,S280,SATA/AHCI,"2.5""",120GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Intel,TLC,32/64,560/420,Mid-Range SATA,Change: Samsung 64L,KingDian S280,,
KingDian,S400,SATA/AHCI,"2.5""",120GB-480GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,530/450,Entry-Level SATA,,KingDian S400,,
KingMax,PQ4480,x4 PCIe 4.0/NVMe,M.2,250GB-1TB,,,,,,,,3600/3000,,,KingMax PQ4480,,
KingMax,PX3480,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3400,Mid-Range NVMe,,KingMax PX3480,,
KingMax,PX4480,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,,KingMax PX4480,,
KingMax,SMV,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,500/500,Entry-Level SATA,,KingMax SMV,,
Kingston,A1000,x2 PCIe 3.0/NVMe,M.2,240GB-960GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1500/1000,Entry-Level NVMe,,Kingston A1000,,
Kingston,A400,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,32+,500/450,Entry-Level SATA,QLC/SMI at higher cap.,Kingston A400,,
Kingston,A2000,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,2200/2000,Entry-Level NVMe,,Kingston A2000,,
Kingston,Fury Renegade,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7300/7000,High-End NVMe,,Kingston Fury Renegade,,
Kingston,Ghost Tree,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,,,,,,,,7000/7000,,,,,
Kingston,Grandview ES,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Marvell Whistler Plus,4-ch,,,,,,,,,,,
Kingston,HyperX RGB,SATA/AHCI,"2.5""",120GB-960GB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,520/500,Garbage,Overheats due to LEDs,Kingston HyperX Fury RGB SSD,,
Kingston,KC600,SATA/AHCI,"2.5""",256GB-2TB,SMI SM2259,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,96,550/520,High-End SATA,,Kingston KC600,,
Kingston,KC2000,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,3200/2200,Mid-Range NVMe,,Kingston KC2000,,
Kingston,KC2500,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,3500/2900,Mid-Range NVMe,,Kingston KC2500,,
Kingston,KC3000,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/7000,High-End NVMe,,Kingston KC3000,,
Kingston,NV1,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,,TLC/QLC,,2100/1700,Entry-Level NVMe,Optionally E13T; QLC at 1-2TB,Kingston NV1,,
Kingston,NV2,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Kioxia,TLC,112,3500/2800,Entry-Level NVMe,,Kingston NV2,,
Kingston,Q500,SATA/AHCI,"2.5""",120GB-960GB,Phison S11T/S13T,"Single-core, 2-ch, 8-CE/ch",No,N/A,Micron,TLC,64,500/450,Entry-Level SATA,,Kingston Q500,,
Kingston,Seccos ES,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,,8-ch,,,,,,3500/3000,,,,,
Kingston,UV500,SATA/AHCI,"2.5"" & M.2 (960GB)",120GB-1920GB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,520/500,Mid-Range SATA,,Kingston UV500,,
Kingston,XS2000,USB 3.2 Gen 2x2,USB-C,500GB-2TB,SMI SM2320,Hybrid,No,N/A,Micron,TLC,96,2000/2000,Entry-Level NVMe,Portable,Kingston XS2000,,
KingSpec,P4,SATA/AHCI,"2.5""",120GB-480GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Intel,QLC,64,560/520,Entry-Level SATA,,KingSpec P4,,
Kioxia,Excercia,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Phison E12C,"Dual R5 + CoX, 4-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,1700/1600,Entry-Level NVMe,"G2 variant: 1TB-2TB, 2100/1700",Kioxia Excercia,Kioxia Exceria G2,
Kioxia,Exceria Plus,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,3400/3200,Mid-Range NVMe,Plus G2 variant,Kioxia Excercia Plus,Kioxia Exceria Plus G2,
Kioxia,Exceria Pro,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,112,7300/6400,High-End NVMe,,Kioxia Exceria Pro,,
Kioxia,Excercia SATA,SATA/AHCI,"2.5""",240GB-960GB,Phison S11T,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,96,555/540,Entry-Level SATA,,Kioxia Exceria SATA,,
KLEVV,CRAS C700/RGB,x4 PCIe 3.0/NVMe,M.2,120GB-480GB,SMI SM2263,"Dual-core, 4-ch, 4-CE/ch",Yes,No,Hynix,TLC,72,1500/1300,Entry-Level NVMe,Regular and RGB SKUs,Klevv C700 RGB,,
KLEVV,CRAS C710,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1650,Entry-Level NVMe,,CRAS C710,,
KLEVV,CRAS C720,x4 PCIe 4.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,96,3400/3100,Mid-Range NVMe,,Klevv CRAS C720,,
KLEVV,CRAS C920,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,,TLC,96,7000/6850,High-End NVMe,,Klevv CRAS C920,,
KLEVV,NEO N610,SATA/AHCI,"2.5""",256GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64+,560/520,High-End SATA,,Klevv NEO N610,,
LaCie,Portable SSD,USB 3.2 Gen 2x1,USB-C,500GB-2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,540/?,Mid-Range SATA,Portable,LaCie Portable SSD,,
LaCie,Rugged BOSS,USB 3.1 Gen2,USB-C,1TB,,,,,,,,430/430,,Portable,LaCie Rugged Boss,,
LaCie,Rugged SSD,USB 3.2 Gen 2x1,USB-C,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,950/950,Entry-Level NVMe,Portable,LaCie Rugged SSD,,
LaCie,Rugged SSD Pro,Thunderbolt 3,USB-C,1TB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,2800/2800,Mid-Range NVMe,Portable; Titan Ridge,LaCie Rugged SSD Pro,,
Lexar,NS100,SATA/AHCI,"2.5""",240GB-480GB,Marvell 88NV1120,"Dual-core, 2-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/520,Entry-Level SATA,,Lexar NS100,,
Lexar,NS200,SATA/AHCI,"2.5""",240GB-960GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,550/510,High-End SATA,,Lexar NS200,,
Lexar,NM210,SATA/AHCI,M.2,128GB-512GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,550/510,High-End SATA,,Lexar NM210,,
Lexar,NM500,x2 PCIe 3.0/NVMe,M.2,128GB-512GB,Marvell 88NV1160,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Kioxia,TLC,64,1650/1000,Entry-Level NVMe,,Lexar NM500,,
Lexar,NM520,x2 PCIe 3.0/NVMe,M.2,128GB-512GB,,,No,Yes,,,,1650/1000,Entry-Level NVMe,2242 FF,Lexar NM520,,
Lexar,NM600,x4 PCIe 3.0/NVMe,M.2,240GB-480GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1600,Entry-Level NVMe,,Lexar NM600,,
Lexar,NM610,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2100/1600,Entry-Level NVMe,,Lexar NM610,,
Lexar,NM620,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Innogrit IG5216,,No,Yes,Micron,TLC,96,3300/3000,Entry-Level NVMe,,Lexar NM620,,
Lexar,NM700,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Marvell 88SS1092,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,96,3500/2000,Mid-Range NVMe,,Lexar NM700,,
Lexar,NM760,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Micron,TLC,176,5300/4500,Mid-Range NVMe,,Lexar NM760,,
Lexar,NM800 (NM800PRO),x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,Micron,TLC,176,7400/5800,High-End NVMe,,Lexar NM800,,
Lexar,NQ100,SATA/AHCI,"2.5""",240GB-960GB,Marvell 88NV1120,"Dual-core, 2-ch, 4-CE/ch",No,N/A,Micron,TLC,96,550/?,Entry-Level SATA,,Lexar NQ100,,
Lexar,SL100 Pro,USB 3.2 Gen 2x1,USB-C,250GB-1TB,Marvell 88NV1160,"Dual-core, 4-ch, 4-CE/chj",No,Yes,Unknown,TLC,64,950/900,Entry-Level NVMe,Portable,Lexar SL100 Pro,,
Lexar,SL200,USB 3.2 Gen 2x1,USB-C,512GB-2TB,Marvell 88NV1120,"Dual-core, 2-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/400,Entry-Level SATA,Portable,Lexar SL200,,
Lexar,SL660 Blaze,USB 3.2 Gen 2x2,USB-C,512GB-1TB,SMI SM2320,Hybrid,No,N/A,Micron,TLC,96,2000/1900,Entry-Level NVMe,Portable,,,
Maxtor,Z1,SATA/AHCI,"2.5""",240GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,540/475,Entry-Level SATA,,Maxtor Z1,,
MDSSD,BPX Pro,x4 PCIe 3.0/NVMe,M.2,240GB-960GB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3100,Mid-Range NVMe,,MDSSD BPX Pro,,
MDSSD,SBX,x2 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1600/1300,Entry-Level NVMe,,MDSSD SBX,,
MDSSD,SBXe,x2 PCIe 3.0/NVMe,M.2,120GB-480GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1600/1000,Entry-Level NVMe,2242 & 2280,MDSSD SBXe,,
MDSSD,SBXe (2nd Gen),x4 PCIe 3.0/NVMe,M.2,120GB-960GB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,2500/2100,Entry-Level NVMe,,MDSSD SBXe v2,,
Micron,1100,SATA/AHCI,"2.5"" & M.2 (1TB)",275GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32,530/500,Mid-Range SATA,,Micron 1100,,
Micron,1300,SATA/AHCI,"2.5"" & M.2 (1TB)",256GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,96,530/520,High-End SATA,,Micron 1300,,
