Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories,Notes (*),Product Page,Product Page 2,Product Page 3
SanDisk,Extreme PRO Port. V2,USB 3.2 Gen 2x2,USB-C,1TB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,96,2000/2000,Entry-Level NVMe,Portable; ASM2364,SanDisk Extreme PRO Portable SSD V2,,
SanDisk,SSD Plus,SATA/AHCI,"2.5""",120GB-2TB,SMI SM2256S,"Single-core, 4-ch, 8-CE/ch",No,N/A,SanDisk/Kioxia,TLC,N/A,545/450,Entry-Level SATA,"2TB - DRAM, some QLC",SanDisk SSD Plus,,
SanDisk,Ultra,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,2400/1950,Entry-Level NVMe,5-year,SanDisk Ultra NVMe,,
SanDisk,Ultra 3D,SATA/AHCI,"2.5""",250GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,550/525,High-End SATA,,SanDisk Ultra 3D,,
Seagate,BarraCuda,SATA/AHCI,"2.5""",250GB-2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,560/540,Mid-Range SATA,,Seagate BarraCuda SSD,,
Seagate,BarraCuda 120,SATA/AHCI,"2.5""",250GB-2TB,Phison S12,8-ch,Yes,N/A,,TLC,96,560/540,High-End SATA,S10 w/LDPC,BarraCuda 120,,
Seagate,BarraCuda 510,x4 PCIe 3.0/NVMe,M.2,256GB-512GB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/2180,Mid-Range NVMe,Updated to 96L,Seagate BarraCuda 510 NVMe,,
Seagate,Fast SSD,USB 3.2 Gen 2x1,USB-C,512GB-2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,540/500,Mid-Range SATA,Portable,Seagate Fast SSD,,
Seagate,FireCuda 510,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3450/3200,Mid-Range NVMe,Updated to 96L,Seagate FireCuda 510 NVMe,,
Seagate,FireCuda 520,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5500/4400,Mid-Range NVMe,,Seagate FireCuda 520,,
Seagate,FireCuda 530,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7300/6900,High-End NVMe,Opt. heatsink,Seagate FireCuda 530,,
Seagate,One Touch SSD,USB 3.2 Gen 1x1,USB-C,500GB-1TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,400/400,Mid-Range SATA,Portable,Seagate One Touch SSD,,
Seagate,One Touch SSD NVMe,USB 3.2 Gen 2,USB-C,500GB-2TB,,,,,,,,1030/1030,Entry-Level NVMe,Portable,Seagate One Touch SSD,,
Seagate,BarraCuda Q1,SATA/AHCI,"2.5""",240GB-960GB,,,,,Intel,QLC,,550/500,Entry-Level SATA,,Seagate BarraCuda Q1,,
Seagate,BarraCuda Q5,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Intel,QLC,,2400/1800,Entry-Level NVMe,,Seagate BarraCuda Q5,,
Silicon Power,A55/S55,SATA/AHCI,"2.5"" & M.2",60GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,560/530,Entry-Level SATA,Variable hardware,Silicon Power A55,Silicon Power S55,
Silicon Power,A58,SATA/AHCI,"2.5""",128GB-512GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,480/510,Entry-Level SATA,,Silicon Power Bolt B75 Pro,,
Silicon Power,Bolt B75 Pro,USB 3.2 Gen 2x1,USB-C,250GB-2TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,520/420,Entry-Level SATA,Portable,Silicon Power Bolt B75 Pro,,
Silicon Power,P32A80,x2 PCIe 3.0/NVMe,M.2,128GB-512GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1600/1000,Entry-Level NVMe,,Silicon Power P32A80,,
Silicon Power,P34A60,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron/Kioxia,TLC,96,2200/1600,Entry-Level NVMe,Unverified NAND,Silicon Power P34A60,,
Silicon Power,P34A80,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3200/3000,Mid-Range NVMe,Switched to SM2262EN,Silicon Power P34A80,,
Silicon Power,PC60,USB 3.2 Gen 2x1,USB-C,1.92TB,SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,96,540/500,Entry-Level SATA,Portable,Silicon Power PC60,,
Silicon Power,UD70,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,QLC,96,3400/3000,Mid-Range NVMe,,Silicon Power UD70,,
Silicon Power,UD80,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Innogrit IG5216,,No,Yes,,TLC,,3400/3000,Entry-Level NVMe,,Silicon Power UD80,,
Silicon Power,UD90,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,4800/4200,Mid-Range NVMe,,Silicon Power UD90,,
Silicon Power,US70,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,,Silicon Power US70,,
Silicon Power,XD80,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,3400/3000,Mid-Range NVMe,,Silicon Power XD80,,
Silicon Power,XS70,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7300/6800,High-End NVMe,,Silicon Power XS70,,
Solidigm,P41 Plus,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Solidigm,QLC,144,4125/3325,Entry-Level NVMe,,,,
Solidigm,P44 Pro,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,,,,,,,,High-End NVMe,,,,
TC Sunbow,X3,SATA/AHCI,"2.5""",60GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",?,N/A,Micron,TLC,64,560/510,Mid-Range SATA,Flash/DRAM varies,,,
Team,Cardea,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,13000/1200,High-End NVMe,,,,
Team,Cardea II,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3400/3000,Mid-Range NVMe,Heatsink,Team Cardea II,,
Team,Cardea A440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7000/6900,High-End NVMe,,Team Cardea A440,,
Team,Cardea A440 Pro,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,,TLC,,7400/7000,High-End NVMe,PS5,Team Cardea A440 Pro,,
Team,Cardea Ceramic C440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,,Team Cardea Ceramic C440,,
Team,IOPS,x4 PCIe 3.0/NVMe,M.2,1TB,,,Yes,No,,TLC,,3400/3000,Mid-Range NVMe,Cool heatsinks,Team Cardea IOPS,,
Team,Cardea Liquid,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe,Water-cooled,Team Cardea Liquid,,
Team,Cardea Z44Q,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,5000/4000,Mid-Range NVMe,,Team Cardea Z44Q,,
Team,Cardea Zero,x4 PCIe 4.0/NVMe,M.2,256GB-1TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,4800/4000,Mid-Range NVMe,Heatsink,Team Cardea Zero,,
Team,Cardea Zero Z330,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64/96,2100/1700,Entry-Level NVMe,,Team Cardea Zero Z330,,
Team,Cardea Zero Z440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,,Cardea Zero Z440,,
Team,Delta RGB,SATA/AHCI,"2.5""",250GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,560/510,Mid-Range SATA,RGB; Change: Samsung 64L or newer,Team Delta RGB,,
Team,Delta TUF,SATA/AHCI,"2.5""",500GB-1GB,,,,,,,,560/510,,Variant of RGB,Team Delta TUF,,
Team,AX1,SATA/AHCI,"2.5""",240GB-960GB,,,,,,,,540/490,,AX/CX/EX/GX variant,Team AX1,,
Team,AX2,SATA/AHCI,"2.5""",256GB-2TB,,"Single-core, 4-ch, 4-CE/ch",,,,,,540/490,,AX/CX/EX/GX variant - May be QLC,Team AX2,,
Team,EX2,SATA/AHCI,"2.5""",512GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Hynix,TLC,72,550/520,Entry-Level SATA,AX/CX/EX/GX variant - May be QLC,Team EX2,,
Team,CX1,SATA/AHCI,"2.5""",240GB-960GB,,,,,,,,,,AX/CX/EX/GX variant,Team CX1,,
Team,CX2,SATA/AHCI,"2.5""",256GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,,TLC,64,540/490,Entry-Level SATA,AX/CX/EX/GX variant - May be QLC,Team CX2,,
Team,GX1,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,SanDisk/Kioxia,TLC,64,530/480,Entry-Level SATA,SM2258XT var.; lesser flash,Team GX1,,
Team,GX2,SATA/AHCI,"2.5""",128GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/500,Entry-Level SATA,AX/CX/EX/GX variant - May be QLC,Team GX2,,
Team,L3 EVO,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,530/500,Entry-Level SATA,Variable hardware,Team L3 EVO,,
Team,L5 Lite (2D),SATA/AHCI,"2.5""",60GB-1TB,SMI SM2256S,"Single-core, 4-ch, 8-CE/ch",No,N/A,Micron,TLC,N/A,530/480,Garbage,,Team L5 Lite (2D),,
Team,L5 Lite 3D,SATA/AHCI,"2.5""",120GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Varies,TLC,32/64,500/480,Mid-Range SATA,Change: Samsung 64L,Team L5 Lite 3D,,
Team,MP32,x2 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1550/950,Entry-Level NVMe,,Team MP32,,
Team,MP33,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64/96,1800/1500,Entry-Level NVMe,SM2263XT variant; 5-yr,Team MP33,,
Team,MP33 Pro,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,96,2100/1700,Entry-Level NVMe,,Team MP33 Pro,,
Team,MP34,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/2900,Mid-Range NVMe,3-yr; SM2262EN change/variant,Team MP34,,
Team,MP34Q,x4 PCIe 3.0/NVMe,M.2,2TB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Intel,QLC,96,3400/3000,Mid-Range NVMe,,Team MP34Q,,
Team,MP44L,,,,Phison E21T,,,,Micron,TLC,176,,,,,,
Team,MS30,SATA/AHCI,M.2,128GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,530/480,Entry-Level SATA,,Team MS30,,
Team,PD400,USB 3.2 Gen 1x1,USB-C,240GB-960GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,,TLC,,430/420,Mid-Range SATA,Portable,Team PD400,,
Team,PD1000,USB 3.2 Gen 2x1,USB-C,512GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,No,,TLC,,1000/950,Entry-Level NVMe,Portable,Team P1000,,
Team,QX,SATA/AHCI,"2.5""",15.3TB,Phison E12DC,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,,,560/480,,Data Center,Team QX,,
Team,T-Create Classic (NVMe),x4 PCIe 3.0/NVMe,M.2,1TB-2TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,2100/1700,Entry-Level NVMe,,Team T-Create Classic (NVMe),,
Team,T-Create Classic (NVMe 2),x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,5000/4400,Mid-Range NVMe,,Team T-Create Classic (NVMe 2),,
Team,T-Create Classic (SATA),SATA/AHCI,"2.5""",1TB,,,Yes,,,TLC,,550/520,,,Team T-Create Classic (SATA),,
Team,T-Create Classic (TB3),TB3,TB3,1TB-4TB,,,Yes,,,,,2700,,Portable; 900 MB/s for USB3.2 Gen 2x1,Team T-Create Classic TB3,,
Team,T-Create Expert,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,SMI SM2262EN,,Yes,N/A,Micron,TLC,64,3400/3000,High-End NVMe,Massive warranty w/industrial TLC,Team T-Create Expert,,
Team,Vulcan,SATA/AHCI,"2.5""",250GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,560/510,High-End SATA,3-yr warranty; flash may vary,Team Vulcan SSD,,
Team,Vulcan G,SATA/AHCI,"2.5""",512GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Kioxia,TLC,64+,550/500,Entry-Level SATA,May be SM2259XT now,Team Vulcan G,,
Team,Vulcan Z,SATA/AHCI,"2.5""",240GB-2TB,,,,,,TLC,,550/500,,,,,
Team,Z330,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64/96,2100/1700,Entry-Level NVMe,,Team Z330,,
Team,Z340,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,,3400/3000,Mid-Range NVMe,E12S alternative,Team Z340,,
Team,Z44L,x4 PCIe 4.0/NVMe,M.2,250GB-1TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,3500/3000,Entry-Level NVMe,Updated to 176L,Team Cardea Z44L,,
Team,Z44Q,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,5000/3700,Mid-Range NVMe,,Team Z44Q,,
Toshiba/Kioxia,RC500,x4 PCIe 3.0/NVMe,M.2,250GB-500GB,Phison E12S,4-ch,Yes,N/A,Kioxia,TLC,96,1700/1600,Entry-Level NVMe,,Toshiba RC500,,
Toshiba/Kioxia,RD500,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,8-ch,Yes,N/A,Kioxia,TLC,96,3400/3200,Mid-Range NVMe,,RD500,,
Toshiba/Kioxia,TR200,SATA/AHCI,"2.5""",240GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,555/540,Entry-Level SATA,,Toshiba TR200,,
Transcend,ESD350C,USB 3.2 Gen 2x1,USB-C,240GB-960GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,No,Micron,TLC,64,1050/950,Entry-Level NVMe,Portable; Unverified,Transcend ESD350C,,
Transcend,MSA452T2,SATA/AHCI,mSATA,64GB-1TB,,,Yes,N/A,,TLC,,560/520,High-End SATA,,Transcend MSA452T2,,
Transcend,MTS552T2,SATA/AHCI,M.2,64GB-512GB,,,Yes,N/A,,TLC,,560/510,High-End SATA,,Transcend MTS552T2,,
Transcend,MTE652T2,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,,,Yes,No,,TLC,,2100/1000,Entry-Level NVMe,,Transcend MTE652T2,,
Transcend,MTS952T2,SATA/AHCI,M.2,64GB-2TB,,,Yes,N/A,,TLC,,560/520,High-End SATA,,Transcend MTS952T2,,
Transcend,SSD 110S,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,1700/1500,Entry-Level NVMe,,Transcend SSD 110S,,
Transcend,SSD 220S,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3300/2800,Mid-Range NVMe,May be changed to E12/E12S + 96L,Transcend SSD220S,,
Transcend,SSD225S,SATA/AHCI,"2.5""",250GB-2TB,,,,,,,,560/500,,,,,
Transcend,SSD230S,SATA/AHCI,"2.5""",128GB-2TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,560/520,Mid-Range SATA,Change: Samsung 64L,Transcend SSD230S,,
Transcend,SSD 240S,x4 PCIe 4.0/NVMe,M.2,500GB-1TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,96,3800/3200,Mid-Range NVMe,,Transcend SSD 240S,,
Transcend,SSD250N,SATA/AHCI,"2.5""",1TB-2TB,,,Yes,N/A,,,,560/480,,,Transcend SSD250N,,
Transcend,SSD420S/820S,SATA/AHCI,M.2,120-960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/500,Entry-Level SATA,2242 (240GB)/2280 by SKU,Transcend SSD420S,Transcend SSD820S,
Transcend,SSD430S/830S,SATA/AHCI,M.2,128GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,560/500,Mid-Range SATA,2242 (512GB)/2280 by SKU,Transcend SSD430S,Transcend SSD830S,
Verbatim,Vi3000,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,3100/2900,Entry-Level NVMe,,Verbatim Vi3000,,
WD,AN1500,x8 PCIe 3.0/NVMe,AIC,1TB-4TB,2xWD + 88NR2241,2xSN750 controller + RAID,Yes,No,SanDisk,TLC,,6500/4100,High-End NVMe,,WD AN1500,,
WD,Black/SN750*,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,64,3470/3000,Mid-Range NVMe,Heatsink model; flash changed 2021,WD Black SN750,,
WD,Blue (2D),SATA/AHCI,"2.5"" & M.2",250GB-1TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,N/A,545/525,Entry-Level SATA,,,,
WD,Blue 3D,SATA/AHCI,"2.5"" & M.2 (2TB)",250GB-4TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,560/530,High-End SATA,"4TB 2.5"" only",WD Blue 3D,,
WD,D30,USB 3.2 Gen 2x1,USB-C,500GB-2TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,N/A,SanDisk,TLC,96,900/900,Entry-Level NVMe,Portable; Xbox/PS5 variants,WD D30,,
WD,Green,SATA/AHCI,"2.5"" & M.2 (480GB)",120GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,SanDisk,TLC,N/A,545/?,Garbage,Variable hardware,WD Green SSD,,
WD,My Passport SSD (New),USB 3.2 Gen 2x1,USB-C,256GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,540/?,High-End SATA,Portable,WD My Passport SSD,,
WD,My Passport SSD (NVMe),USB 3.2 Gen 2x1,USB-C,500GB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,N/A,SanDisk,TLC,96,1050/1000,Entry-Level NVMe,Portable,WD My Passport SSD,,
WD,P40,USB 3.2 Gen2x2,USB-C,500GB-2TB,,,,,,,,2000,,Portable; RGB,,,
WD,P50,USB 3.2 Gen 2x2,USB-C,500GB-2TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,64,2000/2000,Mid-Range NVMe,Portable,WD P50,,
WD,SA500/Red,SATA/AHCI,"2.5"" & M.2",500GB-4TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,?,560/530,High-End SATA,"4TB 2.5"" only",WD Red,,
WD,SN500,x2 PCIe 3.0/NVMe,M.2,250GB-500GB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,No,SanDisk,TLC,64,1700/1450,Entry-Level NVMe,,WD SN500,,
WD,SN350,x4 PCIe 3.0/NVMe,M.2,240GB-960GB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,2400/1900,Entry-Level NVMe,,WD SN350,,
WD,SN550,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,2400/1950,Entry-Level NVMe,5-year; flash changed June 2021,WD SN550,,
WD,SN570,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,WD Proprietary,,No,Yes,SanDisk,TLC,112,3500/3000,Entry-Level NVMe,,WD SN570,,
WD,SN750 SE,x4 PCIe 4.0/NVMe,M.2,250GB-1TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,3600/2830,Entry-Level NVMe,,WD SN750 SE,,
WD,SN770,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,WD Proprietary,,No,Yes,SanDisk,TLC,112,5150/4900,Mid-Range NVMe,,WD SN770,,
WD,SN850,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,WD Proprietary,,Yes,No,SanDisk,TLC,,7000/5300,High-End NVMe,,WD SN850,,
WD,SN850X,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,112,7300,High-End NVMe,Optional heatsink,,,
Zadak,Spark,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,,3400/3000,Mid-Range NVMe,Heatsink; RGB,Zadak Spark,,
Zadak,TWSG4S,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7400/7000,High-End NVMe,Heatsink,Zadak TWSG4S,,
Zadak,TWSG5,x4 PCIe 5.0/NVMe,M.2,,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,,,,13000/12000,,,,,
,,,,,,,,,,,,,,,,,
,,,,Use Filter Views under Data,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Johnny Lucky SSD Database - Warranty & Reviews,,,,,,,,,,,,,
,,,,Gabriel's SSD Table,,,,,,,,,,,,,
,,,,,Updated 10/21/2022,,,,,,,,,,,,